
"Reference number","2025-00069236"
"Entity number","0443246943"
"Accounting period start date","2024-01-01"
"Accounting period end date","2024-12-31"
"Model code","m01-f"
"Deposit type","Initial"
"Language","nl"
"Currency","EUR"
"Entity name","Profinance"
"Entity address street","Daknamstraat"
"Entity address number","89"
"Entity postal code","9160"
"Entity city","Lokeren"
"Entity country","België"
"General assembly date","2025-04-13"
"Liquidation flag","FALSE"
"Correction flag","FALSE"
"Legal form","Naamloze vennootschap"
"40/41","1333311.09"
"492/3","6000"
"1341","1"
"454/9","8514.34"
"1213","1"
"1211","1"
"8525","0"
"10","100000"
"13","8796856.47"
"17","348000"
"3","13640.63"
"1103","1"
"1343","1"
"1101","1"
"22","840587.66"
"28","6411418.14"
"75/76B","429918.6"
"9087","1"
"130","10000"
"133","8786856.47"
"6921","334861.19"
"8309","169893.72"
"1011","1764"
"1003","1"
"1001","1"
"130/1","10000"
"8129P","240"
"40","3276.69"
"41","1330034.4"
"44","5666.08"
"45","17157.54"
"46","0"
"1021","71981.55"
"1013","1764"
"8329","1111749.17"
"22/27","840587.66"
"1023","71981.55"
"8199P","2120501.43"
"62","71981.55"
"10/49","9273680.09"
"65","71714.28"
"21/28","7252005.8"
"20/58","9273680.09"
"70","383495.91"
"10/11","100000"
"10/15","8896856.47"
"75","429918.6"
"76","0"
"8365","2391558.7"
"1003P","1"
"1053","1"
"1052","0"
"1051","1"
"178/9","348000"
"8395P","4019859.44"
"12101","1"
"8912","348000"
"12103","1"
"450/3","8643.2"
"54/58","267792.57"
"630","93457.32"
"65/66B","71714.28"
"6502","0"
"8129","240"
"8059P","240"
"691/2","334861.19"
"8329P","1188185.57"
"1013P","1746"
"9903","354041.07"
"9900","170786.3"
"9901","-4163.25"
"9906","334861.19"
"9904","334861.19"
"9905","334861.19"
"60/61","212962.49"
"42/48","22823.62"
"76A","0"
"8279","93457.32"
"8395","6411418.14"
"892","0"
"440/4","5666.08"
"8169","1729.12"
"1023P","71384"
"8179","169893.72"
"8059","240"
"640/8","9510.68"
"50/53","406930"
"490/1","0"
"30/36","13640.63"
"29/58","2021674.29"
"17/49","376823.62"
"8199","1952336.83"
"100","100000"
"902","0"
"67/77","19179.88"
