
"Reference number","2025-00101344"
"Entity number","0402754886"
"Accounting period start date","2024-01-01"
"Accounting period end date","2024-12-31"
"Model code","m02-f"
"Deposit type","Initial"
"Language","nl"
"Currency","EUR"
"Entity name","ETABLISSEMENTEN JOSEPH SOUBRY, afgekort Etabl. J. Soubry"
"Entity address street","Verbrandhofstraat"
"Entity address number","51"
"Entity postal code","8800"
"Entity city","Roeselare"
"Entity country","België"
"General assembly date","2025-04-24"
"Liquidation flag","FALSE"
"Correction flag","FALSE"
"Legal form","Naamloze vennootschap"
"1213","105.2"
"1212","17"
"1211","93"
"10032P","114.4"
"5811","10"
"5812","120"
"5813","15780"
"3403","7.9"
"3","16524854"
"3402","4"
"3401","5"
"5821","312"
"5822","16839"
"5823","520073"
"3413","0"
"3412","0"
"3411","0"
"5831","108"
"5832","5829"
"5833","180025"
"6921","3467500"
"5851","0"
"3431","27"
"1011","574751"
"100P","1785000"
"8052P","2610000"
"3423","3"
"1003","420.7"
"3422","0"
"1002","30.2"
"3421","3"
"1001","397.8"
"5841","0"
"5842","0"
"10031P","308.1"
"5843","0"
"10231P","20845237.52"
"2111","4"
"1022","1464068.47"
"1021","26504173.62"
"2103","31"
"3433","27.8"
"2102","0"
"1013","608654"
"3432","1"
"2101","31"
"1012","33903"
"5852","0"
"5853","0"
"10232P","6805937.28"
"2122","0"
"2121","0"
"2113","4"
"2112","0"
"1023","27968242.09"
"609","168104"
"2133","0"
"2132","0"
"2131","0"
"8251P","25635.29"
"2123","0"
"617","5363170.84"
"1053","414.4"
"1052","32"
"1051","390"
"620","18532310.83"
"621","7904834.46"
"623","1531096.8"
"624","3340.09"
"630","2807656.15"
"65/66B","1083449.02"
"10011","301.6"
"635","-2282.65"
"10012","96.2"
"640","733156.52"
"10022","16.5"
"10021","13.7"
"664/7","56923.15"
"650","192473.54"
"654","125280.37"
"10231","21563727.62"
"10232","6404514.47"
"440/4","12730220.97"
"7630","13635.74"
"1023P","27651174.8"
"66A","64920.67"
"640/8","1605176.58"
"10211","20854783.11"
"10212","5649390.51"
"3053","38.7"
"3052","5"
"3051","35"
"689","631500"
"10222","755123.96"
"10221","708944.51"
"450","139260.91"
"694","947700"
"211","0"
"51/53","28618070.34"
"492/3","212268.3"
"600/8","86322418.65"
"635/8","-2282.65"
"8303","137857.05"
"8302","360742.48"
"12132","1"
"12131","6"
"75/76B","1438125.17"
"12133","6.8"
"8321","14831992.26"
"8322","78091197.34"
"8326","94885.27"
"8323","2643971.26"
"130/1","178500"
"12112","9"
"12111","57"
"12113","62.7"
"9431","127327.91"
"12121","21"
"280","5582950.08"
"22/27","14653358.5"
"284","45578.38"
"12123","25.9"
"12122","6"
"10/49","94808704.24"
"20/58","94808704.24"
"10/11","1785000"
"10/15","72259377.56"
"9213","32568289.23"
"8363","2448.27"
"8122","2610000"
"9214","724138.8"
"9215","6688203.19"
"631/4","790"
"8361","0"
"12101","9"
"12103","9.8"
"12102","1"
"764/8","18361.5"
"9461","191259.02"
"54/58","8412071.92"
"1501","79.1"
"8391","3206950.08"
"8393","45578.38"
"1511","147309"
"8166","2893767.57"
