
"Reference number","2025-00054043"
"Entity number","0408364753"
"Accounting period start date","2023-10-01"
"Accounting period end date","2024-09-30"
"Model code","m02-f"
"Deposit type","Initial"
"Language","nl"
"Currency","EUR"
"Entity name","Compass Group Belgium"
"Entity address street","Hermeslaan"
"Entity address number","1H"
"Entity postal code","1831"
"Entity city","Diegem"
"Entity country","België"
"General assembly date","2025-02-25"
"Liquidation flag","FALSE"
"Correction flag","FALSE"
"Legal form","Naamloze vennootschap"
"1213","742"
"1212","412"
"1211","458"
"10032P","706.3"
"5811","58"
"5812","1087"
"5813","43405"
"3","3616960"
"3403","11"
"3402","7"
"3401","6"
"8053P","5469316"
"6920","1164302"
"5851","3"
"1011","1564788"
"3431","1"
"100P","21342000"
"8052P","4245128"
"1003","1440.5"
"3423","404.1"
"1002","509"
"3422","270"
"1001","1086.1"
"3421","251"
"5841","3"
"10031P","682.7"
"5842","1913"
"5843","9309"
"10231P","43740146"
"2111","3"
"1022","16432581"
"1021","68414561"
"2103","448"
"2102","286"
"1013","2039750"
"3433","1"
"2101","291"
"1012","474962"
"5852","1552"
"5853","13283"
"10232P","35706788"
"1033","276381"
"2113","3.3"
"2112","1"
"1023","84847142"
"609","-87058"
"617","18764000"
"1053","1468.6"
"1052","538"
"1051","1097"
"620","59438550"
"621","19907809"
"622","2033924"
"623","3466859"
"6510","3492"
"630","3967564"
"65/66B","2926982"
"635","-341054"
"10011","634.1"
"10012","452"
"640","75798"
"10022","392.8"
"10021","116.2"
"664/7","624227"
"650","1930906"
"651","3492"
"10231","46010992"
"10232","38836150"
"440/4","41739007"
"7630","26480"
"1023P","79446934"
"66A","778021"
"640/8","172203"
"10211","41516388"
"10212","26898173"
"3053","416.1"
"3052","277"
"3051","258"
"10222","11937977"
"10221","4494604"
"211","1187341"
"212","93248"
"285/8","55280"
"492/3","17659"
"600/8","89887704"
"635/8","-341054"
"8303","1168338"
"8302","10789728"
"12132","5"
"12131","10"
"75/76B","23023594"
"12133","13.8"
"8321","514359"
"8322","10229340"
"8323","899644"
"130/1","1907423"
"9421","23007845"
"12112","300"
"12111","323"
"12113","533.9"
"8102","1518684"
"12121","73"
"280","43278351"
"281","3646527"
"22/27","13720568"
"8581","4056605"
"12123","95.4"
"12122","32"
"10/49","125799753"
"20/58","125799753"
"8593","8000"
"8591","3809575"
"10/11","21342000"
"10/15","36549872"
"8123","5376068"
"8122","1723067"
"631/4","-201382"
"8361","1401000"
"12101","52"
"285/8P","63280"
"12103","98.9"
"12102","75"
"764/8","161209"
"9461","1590668"
"54/58","9804278"
"281P","3399497"
"1501","227"
"8391","43278351"
"1511","565078"
"8166","668675"
"8163","549126"
"8162","5332167"
"1521","18764000"
"8172","10984334"
"8173","1216020"
"490/1","1340578"
"8192","21267214"
"58132","11930"
"9281","3646527"
"8193","1901317"
"58131","31475"
"8191","514359"
"8196","1681021"
"1319","18921"
"9291","1286901"
"1323","1188.9"
"1322","505"
"1321","843"
"40/41","49056622"
"1341","254"
"454/9","9879185"
"8196P","1012346"
"9073","634910"
"9076","2165265"
"9077","7713920"
"1103","1468.6"
"1102","538"
"1101","1097"
"1343","279.7"
"1342","33"
"9087","1440.5"
"9088","2039751"
"9086","1635"
"9098","565078"
"9096","227"
"9097","227"
"8391P","41877351"
"670/3","658888"
"10132P","976718"
"3101","255"
"280/1","46924878"
"10131P","1015241"
"3112","1"
"3111","3"
"3103","412.8"
"3102","276"
"6630","153794"
"10332P","102787"
"450/3","634911"
"750","23007845"
"751","9667"
"3113","3.3"
"10132","986967"
"10131","1052783"
"8801","31990464"
"1013P","1991959"
"9903","23944921"
"9901","3848309"
"9906","14450035"
"9904","23286033"
"9905","23286033"
"42/48","88954667"
"76A","187689"
"2053","451.3"
"2052","287"
"2051","294"
"641/8","96405"
"10112","635875"
"10111","928913"
"10331P","141042"
"8841","31990464"
"652/9","992584"
"10121","123870"
"10122","351092"
"8192P","26919381"
"70/76A","233529471"
"10332","115257"
"10331","161124"
"30/36","3616960"
"29/58","63818438"
"8191P","514359"
"30/31","3605700"
"1033P","243829"
"17/49","88972326"
"8193P","2568211"
"100","21342000"
"12031","20"
"9503","499483"
"12033","20.9"
"12032","1"
"58032","13830"
"58031","61004"
"8322P","18643480"
"164/5","234003"
"10","21342000"
"13","1922139"
"14","13285733"
"16","277555"
"9507","195971"
"9505","108190"
"8321P","514358"
"21","1280589"
"23","11037874"
"24","1001673"
"27","1681021"
"12011","468"
"28","46980158"
"60/66A","229681162"
"130","1888502"
"132","14716"
"12013","527.5"
"12012","88"
"33","11260"
"12022","8"
"12021","80"
"12023","86.5"
"8323P","1907410"
"40","47438194"
"41","1618428"
"42","31990464"
"44","41739007"
"45","10514096"
"46","1582315"
"14P","-8835998"
"9311","1286901"
"160","43552"
"12002","29"
"12001","71"
"60","89800646"
"61","50658022"
"12003","91.7"
"62","84847142"
"65","2926982"
"66","778021"
"21/28","61981315"
"10031","715.3"
"70","216984831"
"10032","725.2"
"71","11260"
"74","16345691"
"75","23023594"
"76","187689"
"752/9","6082"
"1003P","1389"
"160/5","277555"
"9113","230007"
"691/2","1164302"
"8022","532013"
"9112","28625"
"9116","341054"
"9351","35149734"
"8273","160572"
"8032","1866733"
"8271","1"
"8272","2375588"
"8122P","2918019"
"9135","700000"
"9136","183228"
"9134","516772"
"47/48","3128785"
"9138","142116"
"9371","35149734"
"9146","24481018"
"9147","8232098"
"9145","14143679"
"9142","17794904"
"8053","5469316"
"9140","142116"
"9141","17794904"
"8052","2910408"
"8123P","4268405"
"8072","323732"
"284/8","55280"
"8073","1107663"
"1203","726.6"
"1202","126"
"1201","639"
"67/77","658888"
"5801","86"
"5802","1946"
"5803","74834"
