
"Reference number","2025-00272621"
"Entity number","0865751823"
"Accounting period start date","2024-01-01"
"Accounting period end date","2024-12-31"
"Model code","m02-f"
"Deposit type","Initial"
"Language","nl"
"Currency","EUR"
"Entity name","Belysse"
"Entity address street","Franklin Rooseveltlaan"
"Entity address number","172"
"Entity postal code","8790"
"Entity city","Waregem"
"Entity country","België"
"General assembly date","2025-06-27"
"Liquidation flag","FALSE"
"Correction flag","FALSE"
"Legal form","Naamloze vennootschap"
"1100/10","48041985.84"
"1213","1"
"1211","1"
"10032P","14"
"5811","1"
"5812","19"
"5813","591"
"5821","4"
"5822","330"
"5823","29864"
"5831","1"
"5832","1"
"5833","256"
"3431","28"
"1011","8084"
"100P","112491588.82"
"8052P","1441525.67"
"1003","4.8"
"1001","4.8"
"10031P","19.3"
"10231P","2682640.12"
"1021","820490.03"
"2103","1"
"3433","30.1"
"1013","8084"
"3432","3"
"2101","1"
"10232P","1562495.84"
"1033","7484"
"1023","820490.03"
"170/4","137458315.65"
"1053","5"
"1051","5"
"620","613779.35"
"621","150573.4"
"622","35298.51"
"623","20838.77"
"8912","137458315.65"
"630","14376.83"
"65/66B","18541481.67"
"10011","3.8"
"10012","1"
"640","2742.9"
"650","13966836.32"
"654","8653.66"
"655","56.55"
"440/4","650524.2"
"661","3325866"
"1023P","4245135.96"
"91812","202166950.19"
"66B","3325866"
"640/8","3790.42"
"439","5715154.68"
"3053","30.1"
"3052","3"
"3051","28"
"211","0"
"8521","252057902.72"
"51/53","12000000"
"492/3","4521247.09"
"8303","34105.03"
"9401","2060309.41"
"12131","1"
"75/76B","6866000.99"
"12133","1"
"8325","26781.05"
"8323","0"
"130/1","5763580.39"
"9421","5554201.28"
"8102","169587.5"
"280","130562346.08"
"281","62817522.39"
"22/27","68397.73"
"10/49","213257291.65"
"9441","895922.82"
"20/58","213257291.65"
"8591","6000000"
"10/11","160533574.66"
"10/15","64299568.89"
"8122","0"
"764/8","771968.15"
"9461","12946664.86"
"54/58","5461215.72"
"281P","65059840.74"
"9471","931274.8"
"8391","382620248.8"
"8165","35865.77"
"8173","61913.54"
"490/1","41325.76"
"58132","209"
"9281","62817522.39"
"58131","1234"
"8193","0"
"58133","852"
"8195","95178.78"
"9291","1314039.84"
"40/41","2306483.97"
"1341","5"
"454/9","203075.9"
"9073","8618.13"
"9077","203075.9"
"1103","5"
"1343","5"
"1101","5"
"8195P","59313.01"
"9087","4.8"
"9088","8084"
"9086","5"
"8391P","382620248.8"
"670/3","1186.87"
"10132P","23496"
"3101","28"
"280/1","193379868.47"
"10131P","32642"
"740","15418.5"
"3103","30.1"
"3102","3"
"10332P","21863"
"450/3","8618.13"
"750","5809729.91"
"751","0"
"754","41491.73"
"10132","1736"
"8802","137458315.65"
"10131","6348"
"1013P","56138"
"9903","-11081312.7"
"9901","594167.98"
"9906","-101997586.16"
"9904","-11063741.76"
"9905","-11063741.76"
"42/48","6978160.02"
"76A","771968.15"
"2053","1"
"2051","1"
"641/8","1047.52"
"10112","1736"
"10111","6348"
"10331P","30232"
"652/9","1248779.35"
"8852","137458315.65"
"50/53","12000000"
"70/76A","6886764.11"
"8621","3757681.65"
"29/58","19809025.45"
"1033P","52095"
"91712","182000000"
"17/49","148957722.76"
"8193P","61913.54"
"100","112491588.82"
"12031","3"
"12033","3"
"58032","1126"
"58031","1101"
"10","112491588.82"
"11","48041985.84"
"13","5763580.39"
"14","-101997586.16"
"17","137458315.65"
"9505","1800"
"21","0"
"24","0"
"26","68397.73"
"28","193379868.47"
"60/66A","6292596.13"
"130","5763580.39"
"8686","12000000"
"12021","1"
"12023","1"
"8323P","34105.03"
"40","1089970.25"
"41","1216513.72"
"42","0"
"43","5715154.68"
"44","650524.2"
"45","211694.03"
"14P","-90933844.4"
"53","12000000"
"9311","1314039.84"
"61","5453938.85"
"62","820490.03"
"8325P","12404.22"
"65","15215615.67"
"66","3325866"
"21/28","193448266.2"
"10031","3.8"
"8471","3325866"
"174","137458315.65"
"10032","1"
"70","6074043.08"
"74","40752.88"
"75","6866000.99"
"76","771968.15"
"77","18757.81"
"752/9","1056271.08"
"1003P","33.3"
"8521P","248732036.72"
"9351","140373238.77"
"8275","14376.83"
"8032","1441525.67"
"9361","133997513.2"
"8122P","169587.5"
"9135","1186.87"
"9134","1186.87"
"47/48","400787.11"
"9371","6375725.57"
"9146","193696.9"
"9147","159989.92"
"9145","945168.14"
"9148","2.92"
"9149","62817522.39"
"9381","182000000"
"9142","184406729.86"
"9141","345320991.69"
"8052","0"
"9153","62817522.39"
"1203","4"
"1201","4"
"5801","4"
"67/77","-17570.94"
"5802","16"
"5803","2227"
