
"Reference number","2025-00155224"
"Entity number","0454352156"
"Accounting period start date","2024-01-01"
"Accounting period end date","2024-12-31"
"Model code","m02-f"
"Deposit type","Initial"
"Language","nl"
"Currency","EUR"
"Entity name","Somnis Bedding"
"Entity address street","Daknamstraat"
"Entity address number","89"
"Entity postal code","9160"
"Entity city","Lokeren"
"Entity country","België"
"General assembly date","2025-06-05"
"Liquidation flag","FALSE"
"Correction flag","FALSE"
"Legal form","Naamloze vennootschap"
"1213","17.1"
"1212","3"
"1211","15"
"10032P","17.7"
"5811","3"
"5812","55"
"5813","1471.5"
"3403","0.8"
"3","3692600.78"
"3402","1"
"6921","64227.15"
"3431","5"
"1011","83371"
"100P","2500000"
"8052P","191274.26"
"3423","2"
"1003","57.8"
"1002","4.3"
"3421","2"
"1001","54.7"
"10031P","46.5"
"10231P","2183577"
"1022","154533.12"
"1021","2790156.8"
"2103","2"
"3433","5.3"
"1013","87978"
"3432","1"
"2101","2"
"1012","4607"
"10232P","721925"
"1033","87320"
"1023","2944689.92"
"609","-704366.53"
"617","1504706.02"
"1053","54.6"
"1052","5"
"1051","51"
"620","1789776.76"
"621","943555.24"
"622","32829.9"
"623","178528.02"
"630","281530.92"
"65/66B","243436.5"
"10011","38.3"
"10012","16.4"
"8922","3448151.8"
"640","4221.42"
"10022","2.1"
"10021","2.2"
"650","91800.75"
"653","132617.36"
"10231","2065844.85"
"10232","878845.07"
"440/4","4974566.18"
"7630","999609.93"
"8962","3448151.8"
"1023P","2905502"
"640/8","5232.52"
"10211","1966630.3"
"10212","823526.5"
"3053","8.1"
"3052","2"
"3051","7"
"10222","55318.57"
"10221","99214.55"
"450","30302.72"
"211","57778.39"
"51/53","15000"
"285/8","0"
"492/3","260436.1"
"600/8","14791254.03"
"8302","1166952.48"
"75/76B","120456.26"
"8322","6586745.97"
"8323","85514.98"
"130/1","250000"
"12111","2"
"12113","2"
"280","784316.72"
"22/27","1069719.88"
"10/49","13674938.31"
"20/58","13674938.31"
"8593","2400"
"10/11","2500000"
"10/15","4620497.72"
"8122","176037.87"
"12101","13"
"285/8P","2400"
"12103","15.1"
"12102","3"
"54/58","200454.53"
"1501","27.5"
"8391","784316.72"
"1511","54088"
"8162","696042.68"
"1521","1504706.02"
"8172","1597190.55"
"490/1","442.13"
"8192","7654809.23"
"58131","1471.5"
"8193","87171.6"
"1323","49"
"1322","4"
"1321","46"
"40/41","7854625.88"
"1341","5"
"454/9","334164.64"
"9062","3448151.8"
"9077","334164.64"
"1103","54.6"
"1102","5"
"1343","5.6"
"1101","51"
"1342","1"
"9087","57.8"
"9088","87978"
"9086","56"
"9098","54088"
"9097","27.5"
"8391P","784316.72"
"670/3","65370.22"
"10132P","24693"
"3101","7"
"280/1","784316.72"
"10131P","67044"
"740","59439.68"
"3103","8.1"
"3102","2"
"10332P","24627"
"450/3","30302.72"
"751","11636.87"
"10132","27723"
"10131","60255"
"1013P","91737"
"9903","129597.37"
"9901","252577.61"
"9906","64227.15"
"9904","64227.15"
"9905","64227.15"
"42/48","8794004.49"
"76A","999609.93"
"91711","4750000"
"2053","2"
"2052","0"
"2051","2"
"641/8","1011.1"
"10112","25757"
"10111","57614"
"10331P","63937"
"652/9","151635.75"
"10121","2641"
"10122","1966"
"8192P","8555957.1"
"50/53","15000"
"70/76A","23527051.1"
"10332","28201"
"10331","59119"
"91721","3500000"
"30/36","3692600.78"
"29/58","11763123.32"
"30/31","1790400.6"
"1033P","88564"
"17/49","9054440.59"
"430/8","3448151.8"
"8193P","87171.6"
"100","2500000"
"8651","0"
"8653","0"
"58031","6970.3"
"8322P","7480796.86"
"10","2500000"
"13","2120497.72"
"9504","196917.71"
"9505","19525"
"21","57778.39"
"23","1068063.26"
"24","1656.62"
"28","784316.72"
"60/66A","23274473.49"
"130","250000"
"132","504.52"
"133","1869993.2"
"32","893648.08"
"33","558079.13"
"34","450472.97"
"8681","15000"
"8323P","84848.86"
"40","6176124.09"
"41","1678501.79"
"43","3448151.8"
"44","4974566.18"
"45","364467.36"
"51","15000"
"12002","2"
"12001","36"
"60","14086887.5"
"12003","37.5"
"61","5956132.63"
"62","2944689.92"
"65","243436.5"
"21/28","1911814.99"
"10031","39.9"
"10032","17.9"
"70","22276938.71"
"71","106921.99"
"74","143580.47"
"75","120456.26"
"76","999609.93"
"752/9","108819.39"
"1003P","64.2"
"8022","42542"
"691/2","64227.15"
"8273","666.12"
"8272","272901.59"
"8122P","168074.66"
"9135","35067.5"
"9134","65370.22"
"9137","30302.72"
"47/48","6819.15"
"9138","0"
"9146","617340.03"
"9147","256089.16"
"9145","2144802.08"
"8052","233816.26"
"8072","7963.21"
"284/8","0"
"1203","37.5"
"1202","2"
"1201","36"
"5801","31"
"67/77","65370.22"
"5802","239"
"5803","6970.3"
